brand,title,type,price,available,sold,lastUpdated,itemLocation
Dior,Christian Dior Sauvage Men's EDP 3.4 oz Fragrance Spray,Eau de Parfum,84.99,10,116,2024-05-24 10:03:04,"Allen Park, Michigan, United States"
AS SHOW,A-v-entus Eau de Parfum 3.3 oz 100ML Millesime EDP Col-ogne for Men New In Box,Eau de Parfum,109.99,8,48,2024-05-23 23:07:49,"Atlanta, Georgia, Canada"
Unbranded,HOGO BOSS cologne For Men 3.4 oz,Eau de Toilette,100.0,10,27,2024-05-22 21:55:43,"Dearborn, Michigan, United States"
Giorgio Armani,Acqua Di Gio by Giorgio Armani 6.7 Fl oz Eau De Toilette Spray Men' New & Sealed,Eau de Toilette,44.99,2,159,2024-05-24 03:30:43,"Reinholds, Pennsylvania, United States"
Lattafa,Lattafa Men's Hayaati Al Maleky EDP Spray 3.4 oz Fragrances 6291108734056,Fragrances,16.91,0,156,2024-05-24 07:56:25,"Brooklyn, New York, United States"
Multiple Brands,Men's Perfume Sampler 10pcs Sample Vials Designer Fragrance Samples for Men,Perfume,14.99,10,79,2024-05-23 06:57:41,"Houston, Texas, United States"
Maison Alhambra,Glacier Bold by Maison Alhambra 3.4oz EDP for Men NEW SEALED CAN,Eau de Parfum,30.99,9,39,2024-05-16 13:42:49,"Englewood Cliffs, New Jersey, United States"
Unbranded,Parfums De-Marly-Haltane Eau de Parfum spray 4.2 oz for Men New in Box,Eau de Parfum,85.0,0,6,2024-05-24 00:10:39,"Ithaca, New York, United States"
Unbranded,Hawas for him Eau De Parfum By Rasasi 100ml 3.4 FL OZ NEW,/,15.89,10,17,2024-05-24 09:08:14,"shanghai, China"
Gucci,"Gucci Guilty for Him - Classic 3oz Eau de Toilette Spray, Brand New",Eau de Parfum,49.99,8,68,2024-05-23 07:21:23,"Dearborn Heights, Michigan, United States"
Ralph Lauren,Polo Blue by Ralph Lauren 4.2 oz EDT Cologne for Men Brand New In Box,Eau de Toilette,34.99,10,615,2024-05-24 07:53:23,"Ecorse, Michigan, United States"
Dolce&Gabbana,Dolce & Gabbana Light Blue Men 4.2 oz / 125 mL EDT Spray Brand New & Sealed,Eau de Toilette,29.95,7,458,2024-05-23 08:37:49,"Warren, Michigan, United States"
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,Perfume,15.99,10,889,2024-05-21 19:20:12,"San Francisco, California, United States"
As Show,Sauvage Eau de Parfum Spray For Men 3.4 Oz/100ml New In Seald Box,Eau de Parfum,59.99,9,63,2024-05-23 03:08:18,"Dayton,New Jersey, Hong Kong"
Versace,Eau Fraiche By Versace 3.4 oz 100 ml Eau de Toilette Brand New Sealed In Box,Eau de Toilette,34.99,7,136,2024-05-24 00:02:27,"Warren, Michigan, United States"
Paco Rabanne,1 Million by Paco Rabanne 3.4 Fl oz / 100 ml PARFUM Spray Men's New & Sealed,PARFUM,68.99,2,20,2024-05-24 02:41:49,"San Jose, California, United States"
Grandeur,Tribal Intense by Grandeur - Eau de Parfum for Men -100ml (3.4oz),Eau de Parfum,37.99,10,44,2024-05-24 08:14:43,"Miami, Florida, United States"
Armaf,Club de Nuit Intense by Armaf 3.6 oz EDT Cologne for Men New In Box & Sealed,Eau de Toilette,29.99,5,384,2024-05-24 05:13:20,"Hamtramck, Michigan, United States"
Carolina Herrera,Carolina Herrera 212 NYC Men's Cologne EDT 3.4oz 100ml New Sealed,Eau de Toilette,39.99,10,236,2024-05-23 08:48:22,"Flat Lick, Kentucky, United States"
Dior,Dior Sauvage Eau de Toilette 3.4 Oz 100ml Brand New Sealed Free shipping,Eau de Toilette,83.95,4,22,2024-05-22 14:31:55,"Elmhurst, New York, United States"
